Size(Bytes),VirtualAllocTime(ns),VirtualFreeTime(ns),TotalTime(ns)
1,632.20,717.30,1349.50
2,841.10,947.50,1788.60
4,653.00,1572.20,2225.20
8,653.20,1409.40,2062.60
16,658.80,1442.40,2101.20
32,657.00,1391.30,2048.30
64,662.80,1366.70,2029.50
128,723.50,1362.60,2086.10
256,750.50,1311.60,2062.10
512,707.70,1313.80,2021.50
1024,653.20,1377.60,2030.80
2048,713.80,1358.20,2072.00
4096,664.90,1271.40,1936.30
8192,659.00,1641.40,2300.40
16384,694.90,2205.90,2900.80
32768,687.80,3326.20,4014.00
65536,684.00,5869.60,6553.60
131072,674.50,6055.20,6729.70
262144,711.60,7760.50,8472.10
524288,771.70,8479.90,9251.60
1048576,955.90,21147.20,22103.10
2097152,1105.20,34561.00,35666.20
4194304,1117.40,62974.80,64092.20
8388608,1407.80,124984.20,126392.00
16777216,2495.70,258902.00,261397.70
33554432,3736.00,532079.30,535815.30
